trx_date,amount,currency,merchant_id,trx_date_ym
2/2/95,1916145,USD,eBay,1995-02
2/3/95,5599744,EUR,Apple,1995-02
2/4/95,3560912,RMB,Walmart,1995-02
2/5/95,249864,USD,Costco,1995-02
2/6/95,1269467,EUR,Target,1995-02
2/7/95,219732,RMB,eBay,1995-02
2/8/95,1884684,USD,Apple,1995-02
2/9/95,4505148,EUR,Walmart,1995-02
2/10/95,2911070,RMB,Costco,1995-02
2/11/95,6053457,USD,Target,1995-02
2/12/95,8933553,EUR,eBay,1995-02
2/13/95,5422386,RMB,Apple,1995-02
2/14/95,1888746,USD,Walmart,1995-02
2/15/95,8445093,EUR,Costco,1995-02
2/16/95,8541506,RMB,Target,1995-02
2/17/95,8557866,USD,eBay,1995-02
2/18/95,7164556,EUR,Apple,1995-02
2/19/95,6047790,RMB,Walmart,1995-02
2/20/95,7576752,USD,Costco,1995-02
2/21/95,3108605,EUR,Target,1995-02
2/22/95,6533855,RMB,eBay,1995-02
2/23/95,3838187,USD,Apple,1995-02
2/24/95,8698737,EUR,Walmart,1995-02
2/25/95,9209360,RMB,Costco,1995-02
2/26/95,1639263,USD,Target,1995-02
2/27/95,2288997,EUR,eBay,1995-02
2/28/95,5947149,RMB,Apple,1995-02
3/1/95,101916,USD,Walmart,1995-03
3/2/95,4241979,EUR,Costco,1995-03
3/3/95,1479331,RMB,Target,1995-03
3/4/95,8145511,USD,eBay,1995-03
3/5/95,6824053,EUR,Apple,1995-03
3/6/95,6993084,RMB,Walmart,1995-03
3/7/95,1831762,USD,Costco,1995-03
3/8/95,8597801,EUR,Target,1995-03
3/9/95,2599621,RMB,eBay,1995-03
3/10/95,8220105,USD,Apple,1995-03
3/11/95,275686,EUR,Walmart,1995-03
3/12/95,6808209,RMB,Costco,1995-03
3/13/95,2596893,USD,Target,1995-03
3/14/95,8725511,EUR,eBay,1995-03
3/15/95,2056978,RMB,Apple,1995-03
3/16/95,4599834,USD,Walmart,1995-03
3/17/95,4213410,EUR,Costco,1995-03
3/18/95,1492719,RMB,Target,1995-03
3/19/95,7984638,USD,eBay,1995-03
3/20/95,8562880,EUR,Apple,1995-03
3/21/95,9797724,RMB,Walmart,1995-03
3/22/95,2058799,USD,Costco,1995-03
3/23/95,2595473,EUR,Target,1995-03
3/24/95,8698590,RMB,eBay,1995-03
3/25/95,3920414,USD,Apple,1995-03
3/26/95,7553565,EUR,Walmart,1995-03
3/27/95,8531551,RMB,Costco,1995-03
3/28/95,5329255,USD,Target,1995-03
3/29/95,6215097,EUR,eBay,1995-03
3/30/95,6089759,RMB,Apple,1995-03
3/31/95,970330,USD,Walmart,1995-03
4/1/95,6089236,EUR,Costco,1995-04
4/2/95,4990364,RMB,Target,1995-04
4/3/95,3816507,USD,eBay,1995-04
4/4/95,811963,EUR,Apple,1995-04
4/5/95,891880,RMB,Walmart,1995-04
4/6/95,3988692,USD,Costco,1995-04
4/7/95,7743900,EUR,Target,1995-04
4/8/95,5993766,RMB,eBay,1995-04
4/9/95,1635401,USD,Apple,1995-04
4/10/95,4958981,EUR,Walmart,1995-04
4/11/95,5221088,RMB,Costco,1995-04
4/12/95,6944051,USD,Target,1995-04
4/13/95,7318879,EUR,eBay,1995-04
4/14/95,7156134,RMB,Apple,1995-04
4/15/95,8318062,USD,Walmart,1995-04
4/16/95,8054804,EUR,Costco,1995-04
4/17/95,5928731,RMB,Target,1995-04
4/18/95,7654793,USD,eBay,1995-04
4/19/95,1830293,EUR,Apple,1995-04
4/20/95,5149627,RMB,Walmart,1995-04
4/21/95,8663805,USD,Costco,1995-04
4/22/95,3478814,EUR,Target,1995-04
4/23/95,4887953,RMB,eBay,1995-04
4/24/95,4289772,USD,Apple,1995-04
4/25/95,4342617,EUR,Walmart,1995-04
4/26/95,6047101,RMB,Costco,1995-04
4/27/95,3068359,USD,Target,1995-04
4/28/95,4959911,EUR,eBay,1995-04
4/29/95,1229354,RMB,Apple,1995-04
4/30/95,2748171,USD,Walmart,1995-04
5/1/95,8653878,EUR,Costco,1995-05
5/2/95,3856906,RMB,Target,1995-05
5/3/95,4848617,USD,eBay,1995-05
5/4/95,7710988,EUR,Apple,1995-05
5/5/95,8300109,RMB,Walmart,1995-05
5/6/95,3079592,USD,Costco,1995-05
5/7/95,3372638,EUR,Target,1995-05
5/8/95,7060985,RMB,eBay,1995-05
5/9/95,4397974,USD,Apple,1995-05
5/10/95,1071112,EUR,Walmart,1995-05
5/11/95,60560,RMB,Costco,1995-05
5/12/95,5118023,USD,Target,1995-05
5/13/95,6456528,EUR,eBay,1995-05
5/14/95,4388812,RMB,Apple,1995-05
5/15/95,7287897,USD,Walmart,1995-05
5/16/95,4042587,EUR,Costco,1995-05
5/17/95,8224379,RMB,Target,1995-05
5/18/95,4938457,USD,eBay,1995-05
5/19/95,9202356,EUR,Apple,1995-05
5/20/95,9366356,RMB,Walmart,1995-05
5/21/95,1089557,USD,Costco,1995-05
5/22/95,6161123,EUR,Target,1995-05
5/23/95,3485368,RMB,eBay,1995-05
5/24/95,7505743,USD,Apple,1995-05
5/25/95,9640787,EUR,Walmart,1995-05
5/26/95,619481,RMB,Costco,1995-05
5/27/95,8764008,USD,Target,1995-05
5/28/95,9715173,EUR,eBay,1995-05
5/29/95,341958,RMB,Apple,1995-05
5/30/95,1783350,USD,Walmart,1995-05
5/31/95,3458763,EUR,Costco,1995-05
6/1/95,8486846,RMB,Target,1995-06
6/2/95,7210654,USD,eBay,1995-06
6/3/95,4071434,EUR,Apple,1995-06
6/4/95,7666533,RMB,Walmart,1995-06
6/5/95,3669528,USD,Costco,1995-06
6/6/95,1102837,EUR,Target,1995-06
6/7/95,2837370,RMB,eBay,1995-06
6/8/95,3667554,USD,Apple,1995-06
6/9/95,2861117,EUR,Walmart,1995-06
6/10/95,1581486,RMB,Costco,1995-06
6/11/95,4385764,USD,Target,1995-06
6/12/95,8933255,EUR,eBay,1995-06
6/13/95,5041335,RMB,Apple,1995-06
6/14/95,4607577,USD,Walmart,1995-06
6/15/95,2642906,EUR,Costco,1995-06
6/16/95,3501490,RMB,Target,1995-06
6/17/95,4344961,USD,eBay,1995-06
6/18/95,9544073,EUR,Apple,1995-06
6/19/95,8878541,RMB,Walmart,1995-06
6/20/95,2326279,USD,Costco,1995-06
6/21/95,371377,EUR,Target,1995-06
6/22/95,1554557,RMB,eBay,1995-06
6/23/95,6068801,USD,Apple,1995-06
6/24/95,2394654,EUR,Walmart,1995-06
6/25/95,8230401,RMB,Costco,1995-06
6/26/95,8338101,USD,Target,1995-06
6/27/95,5960185,EUR,eBay,1995-06
6/28/95,4322548,RMB,Apple,1995-06
6/29/95,7658011,USD,Walmart,1995-06
6/30/95,6726196,EUR,Costco,1995-06
7/1/95,2018416,RMB,Target,1995-07
7/2/95,3235316,USD,eBay,1995-07
7/3/95,440512,EUR,Apple,1995-07
7/4/95,9555594,RMB,Walmart,1995-07
7/5/95,2008518,USD,Costco,1995-07
7/6/95,1698510,EUR,Target,1995-07
7/7/95,1841417,RMB,eBay,1995-07
7/8/95,6238933,USD,Apple,1995-07
7/9/95,963300,EUR,Walmart,1995-07
7/10/95,9519178,RMB,Costco,1995-07
7/11/95,5020691,USD,Target,1995-07
7/12/95,1995297,EUR,eBay,1995-07
7/13/95,926688,RMB,Apple,1995-07
7/14/95,7643597,USD,Walmart,1995-07
7/15/95,3876021,EUR,Costco,1995-07
7/16/95,8038722,RMB,Target,1995-07
7/17/95,1920106,USD,eBay,1995-07
7/18/95,1091646,EUR,Apple,1995-07
7/19/95,6123179,RMB,Walmart,1995-07
7/20/95,5006257,USD,Costco,1995-07
7/21/95,543061,EUR,Target,1995-07
7/22/95,487346,RMB,eBay,1995-07
7/23/95,301098,USD,Apple,1995-07
7/24/95,1899844,EUR,Walmart,1995-07
7/25/95,3701399,RMB,Costco,1995-07
7/26/95,5623749,USD,Target,1995-07
7/27/95,7040228,EUR,eBay,1995-07
7/28/95,83148,RMB,Apple,1995-07
7/29/95,2295522,USD,Walmart,1995-07
7/30/95,203185,EUR,Costco,1995-07
7/31/95,4262594,RMB,Target,1995-07
8/1/95,796937,USD,eBay,1995-08
8/2/95,9122743,EUR,Apple,1995-08
8/3/95,4171622,RMB,Walmart,1995-08
8/4/95,6355014,USD,Costco,1995-08
8/5/95,8877649,EUR,Target,1995-08
8/6/95,8533618,RMB,eBay,1995-08
8/7/95,4477542,USD,Apple,1995-08
8/8/95,8795071,EUR,Walmart,1995-08
8/9/95,8645694,RMB,Costco,1995-08
8/10/95,8466898,USD,Target,1995-08
8/11/95,5227268,EUR,eBay,1995-08
8/12/95,8917046,RMB,Apple,1995-08
8/13/95,8424475,USD,Walmart,1995-08
8/14/95,3253636,EUR,Costco,1995-08
8/15/95,1830402,RMB,Target,1995-08
8/16/95,1561447,USD,eBay,1995-08
8/17/95,6678451,EUR,Apple,1995-08
8/18/95,9933780,RMB,Walmart,1995-08
8/19/95,93390,USD,Costco,1995-08
8/20/95,9357119,EUR,Target,1995-08
8/21/95,5619634,RMB,eBay,1995-08
8/22/95,7751891,USD,Apple,1995-08
8/23/95,5501186,EUR,Walmart,1995-08
8/24/95,2034463,RMB,Costco,1995-08
8/25/95,8895416,USD,Target,1995-08
8/26/95,6052739,EUR,eBay,1995-08
8/27/95,4477098,RMB,Apple,1995-08
8/28/95,5826372,USD,Walmart,1995-08
8/29/95,3632619,EUR,Costco,1995-08
8/30/95,8965409,RMB,Target,1995-08
8/31/95,3936604,USD,eBay,1995-08
9/1/95,9686339,EUR,Apple,1995-09
9/2/95,6215230,RMB,Walmart,1995-09
9/3/95,8637413,USD,Costco,1995-09
9/4/95,3527915,EUR,Target,1995-09
9/5/95,6999907,RMB,eBay,1995-09
9/6/95,8747197,USD,Apple,1995-09
9/7/95,8428930,EUR,Walmart,1995-09
9/8/95,635817,RMB,Costco,1995-09
9/9/95,8325618,USD,Target,1995-09
9/10/95,7986972,EUR,eBay,1995-09
9/11/95,8871268,RMB,Apple,1995-09
9/12/95,789157,USD,Walmart,1995-09
9/13/95,9206892,EUR,Costco,1995-09
9/14/95,3756940,RMB,Target,1995-09
9/15/95,2120218,USD,eBay,1995-09
9/16/95,3315548,EUR,Apple,1995-09
9/17/95,8409795,RMB,Walmart,1995-09
9/18/95,1880131,USD,Costco,1995-09
9/19/95,262931,EUR,Target,1995-09
9/20/95,9861936,RMB,eBay,1995-09
9/21/95,3090406,USD,Apple,1995-09
9/22/95,2530627,EUR,Walmart,1995-09
9/23/95,6141325,RMB,Costco,1995-09
9/24/95,6350157,USD,Target,1995-09
9/25/95,6767792,EUR,eBay,1995-09
9/26/95,540558,RMB,Apple,1995-09
9/27/95,7667303,USD,Walmart,1995-09
9/28/95,691145,EUR,Costco,1995-09
9/29/95,2100003,RMB,Target,1995-09
9/30/95,327190,USD,eBay,1995-09
10/1/95,1461054,EUR,Apple,1995-10
10/2/95,8102219,RMB,Walmart,1995-10
10/3/95,4433397,USD,Costco,1995-10
10/4/95,2941943,EUR,Target,1995-10
10/5/95,7500545,RMB,eBay,1995-10
10/6/95,9899309,USD,Apple,1995-10
10/7/95,6896919,EUR,Walmart,1995-10
10/8/95,3296405,RMB,Costco,1995-10
10/9/95,1668573,USD,Target,1995-10
10/10/95,9911916,EUR,eBay,1995-10
10/11/95,7762765,RMB,Apple,1995-10
10/12/95,534975,USD,Walmart,1995-10
10/13/95,5066062,EUR,Costco,1995-10
10/14/95,1267414,RMB,Target,1995-10
10/15/95,3854541,USD,eBay,1995-10
10/16/95,1774163,EUR,Apple,1995-10
10/17/95,7288491,RMB,Walmart,1995-10
10/18/95,7878225,USD,Costco,1995-10
10/19/95,719600,EUR,Target,1995-10
10/20/95,3416958,RMB,eBay,1995-10
10/21/95,1294162,USD,Apple,1995-10
10/22/95,5885919,EUR,Walmart,1995-10
10/23/95,2826635,RMB,Costco,1995-10
10/24/95,6229912,USD,Target,1995-10
10/25/95,6684158,EUR,eBay,1995-10
10/26/95,3885154,RMB,Apple,1995-10
10/27/95,5786523,USD,Walmart,1995-10
10/28/95,2411367,EUR,Costco,1995-10
10/29/95,8211851,RMB,Target,1995-10
10/30/95,1805220,USD,eBay,1995-10
10/31/95,9753905,EUR,Apple,1995-10
11/1/95,7188779,RMB,Walmart,1995-11
11/2/95,2451580,USD,Costco,1995-11
11/3/95,5625994,EUR,Target,1995-11
11/4/95,2271662,RMB,eBay,1995-11
11/5/95,6487292,USD,Apple,1995-11
11/6/95,5595268,EUR,Walmart,1995-11
11/7/95,6336546,RMB,Costco,1995-11
11/8/95,7234144,USD,Target,1995-11
11/9/95,5382678,EUR,eBay,1995-11
11/10/95,9365203,RMB,Apple,1995-11
11/11/95,606264,USD,Walmart,1995-11
11/12/95,5220631,EUR,Costco,1995-11
11/13/95,7604759,RMB,Target,1995-11
11/14/95,8084269,USD,eBay,1995-11
11/15/95,9919515,EUR,Apple,1995-11
11/16/95,8849109,RMB,Walmart,1995-11
11/17/95,5893804,USD,Costco,1995-11
11/18/95,5640517,EUR,Target,1995-11
11/19/95,8203387,RMB,eBay,1995-11
11/20/95,5294710,USD,Apple,1995-11
11/21/95,8480979,EUR,Walmart,1995-11
11/22/95,3826207,RMB,Costco,1995-11
11/23/95,9035320,USD,Target,1995-11
11/24/95,138871,EUR,eBay,1995-11
11/25/95,723197,RMB,Apple,1995-11
11/26/95,4653282,USD,Walmart,1995-11
11/27/95,7563882,EUR,Costco,1995-11
11/28/95,4900939,RMB,Target,1995-11
11/29/95,3516827,USD,eBay,1995-11
11/30/95,7840851,EUR,Apple,1995-11
12/1/95,7363755,RMB,Walmart,1995-12
12/2/95,1738328,USD,Costco,1995-12
12/3/95,8626369,EUR,Target,1995-12
12/4/95,4779563,RMB,eBay,1995-12
12/5/95,1726812,USD,Apple,1995-12
12/6/95,2453064,EUR,Walmart,1995-12
12/7/95,7877291,RMB,Costco,1995-12
12/8/95,7630863,USD,Target,1995-12
12/9/95,8552739,EUR,eBay,1995-12
12/10/95,2450766,RMB,Apple,1995-12
12/11/95,9938547,USD,Walmart,1995-12
12/12/95,8149210,EUR,Costco,1995-12
12/13/95,2870631,RMB,Target,1995-12
12/14/95,4850309,USD,eBay,1995-12
12/15/95,906081,EUR,Apple,1995-12
12/16/95,1168774,RMB,Walmart,1995-12
12/17/95,3146096,USD,Costco,1995-12
12/18/95,9790414,EUR,Target,1995-12
12/19/95,5882892,RMB,eBay,1995-12
12/20/95,8277901,USD,Apple,1995-12
12/21/95,3892224,EUR,Walmart,1995-12
12/22/95,9070945,RMB,Costco,1995-12
12/23/95,8892147,USD,Target,1995-12
12/24/95,6896273,EUR,eBay,1995-12
12/25/95,4830248,RMB,Apple,1995-12
12/26/95,7297928,USD,Walmart,1995-12
12/27/95,2842059,EUR,Costco,1995-12
12/28/95,4538187,RMB,Target,1995-12
12/29/95,2920013,USD,eBay,1995-12
12/30/95,2956319,EUR,Apple,1995-12
12/31/95,4914168,RMB,Walmart,1995-12
1/1/96,120709,USD,Costco,1996-01
1/2/96,3194681,EUR,Target,1996-01
1/3/96,86124,RMB,eBay,1996-01
1/4/96,196349,USD,Apple,1996-01
1/5/96,8486389,EUR,Walmart,1996-01
1/6/96,337764,RMB,Costco,1996-01
1/7/96,1241476,USD,Target,1996-01
1/8/96,9524754,EUR,eBay,1996-01
1/9/96,9340098,RMB,Apple,1996-01
1/10/96,2593757,USD,Walmart,1996-01
1/11/96,8151928,EUR,Costco,1996-01
1/12/96,1826618,RMB,Target,1996-01
1/13/96,5079200,USD,eBay,1996-01
1/14/96,1124168,EUR,Apple,1996-01
1/15/96,391369,RMB,Walmart,1996-01
1/16/96,7388951,USD,Costco,1996-01
1/17/96,7798513,EUR,Target,1996-01
1/18/96,2358122,RMB,eBay,1996-01
1/19/96,2457343,USD,Apple,1996-01
1/20/96,2960870,EUR,Walmart,1996-01
1/21/96,6722041,RMB,Costco,1996-01
1/22/96,7724834,USD,Target,1996-01
1/23/96,3755392,EUR,eBay,1996-01
1/24/96,5111287,RMB,Apple,1996-01
1/25/96,5064358,USD,Walmart,1996-01
1/26/96,8326968,EUR,Costco,1996-01
1/27/96,6452172,RMB,Target,1996-01
1/28/96,1589764,USD,eBay,1996-01
1/29/96,9076417,EUR,Apple,1996-01
1/30/96,9112460,RMB,Walmart,1996-01
1/31/96,6314732,USD,Costco,1996-01
2/1/96,837242,EUR,Target,1996-02
2/2/96,2328312,RMB,eBay,1996-02
2/3/96,2770435,USD,Apple,1996-02
2/4/96,2501072,EUR,Walmart,1996-02
2/5/96,4504317,RMB,Costco,1996-02
2/6/96,854148,USD,Target,1996-02
2/7/96,4854764,EUR,eBay,1996-02
2/8/96,8600803,RMB,Apple,1996-02
2/9/96,144490,USD,Walmart,1996-02
2/10/96,1321052,EUR,Costco,1996-02
2/11/96,4888616,RMB,Target,1996-02
2/12/96,7951597,USD,eBay,1996-02
2/13/96,5466932,EUR,Apple,1996-02
2/14/96,5748607,RMB,Walmart,1996-02
2/15/96,1930002,USD,Costco,1996-02
2/16/96,2965393,EUR,Target,1996-02
2/17/96,360057,RMB,eBay,1996-02
2/18/96,6253010,USD,Apple,1996-02
2/19/96,5012739,EUR,Walmart,1996-02
2/20/96,9812438,RMB,Costco,1996-02
2/21/96,6960903,USD,Target,1996-02
2/22/96,4351490,EUR,eBay,1996-02
2/23/96,3102633,RMB,Apple,1996-02
2/24/96,4260761,USD,Walmart,1996-02
2/25/96,7761272,EUR,Costco,1996-02
2/26/96,7381126,RMB,Target,1996-02
2/27/96,2029361,USD,eBay,1996-02
2/28/96,766074,EUR,Apple,1996-02
2/29/96,7247201,RMB,Walmart,1996-02
3/1/96,2514555,USD,Costco,1996-03
3/2/96,2589101,EUR,Target,1996-03
3/3/96,4311976,RMB,eBay,1996-03
3/4/96,309773,USD,Apple,1996-03
3/5/96,1093377,EUR,Walmart,1996-03
3/6/96,6825770,RMB,Costco,1996-03
3/7/96,113963,USD,Target,1996-03
3/8/96,4436285,EUR,eBay,1996-03
3/9/96,2396766,RMB,Apple,1996-03
3/10/96,2016839,USD,Walmart,1996-03
3/11/96,6254023,EUR,Costco,1996-03
3/12/96,431655,RMB,Target,1996-03
3/13/96,2669109,USD,eBay,1996-03
3/14/96,8124421,EUR,Apple,1996-03
3/15/96,8369290,RMB,Walmart,1996-03
3/16/96,865864,USD,Costco,1996-03
3/17/96,2902237,EUR,Target,1996-03
3/18/96,5550418,RMB,eBay,1996-03
3/19/96,2978270,USD,Apple,1996-03
3/20/96,7867213,EUR,Walmart,1996-03
3/21/96,5658231,RMB,Costco,1996-03
3/22/96,443090,USD,Target,1996-03
3/23/96,895740,EUR,eBay,1996-03
3/24/96,1514729,RMB,Apple,1996-03
3/25/96,1250519,USD,Walmart,1996-03
3/26/96,1629377,EUR,Costco,1996-03
3/27/96,7056951,RMB,Target,1996-03
3/28/96,3857115,USD,eBay,1996-03
3/29/96,5437523,EUR,Apple,1996-03
3/30/96,4841428,RMB,Walmart,1996-03
3/31/96,4546406,USD,Costco,1996-03
4/1/96,4487943,EUR,Target,1996-04
4/2/96,550991,RMB,eBay,1996-04
4/3/96,5149860,USD,Apple,1996-04
4/4/96,215058,EUR,Walmart,1996-04
4/5/96,5929004,RMB,Costco,1996-04
4/6/96,649570,USD,Target,1996-04
4/7/96,2008507,EUR,eBay,1996-04
4/8/96,6565437,RMB,Apple,1996-04
4/9/96,470248,USD,Walmart,1996-04
4/10/96,648176,EUR,Costco,1996-04
4/11/96,6701497,RMB,Target,1996-04
4/12/96,2171525,USD,eBay,1996-04
4/13/96,7706620,EUR,Apple,1996-04
4/14/96,753619,RMB,Walmart,1996-04
4/15/96,6189496,USD,Costco,1996-04
4/16/96,2030438,EUR,Target,1996-04
4/17/96,3053419,RMB,eBay,1996-04
4/18/96,2435990,USD,Apple,1996-04
4/19/96,2823033,EUR,Walmart,1996-04
4/20/96,468880,RMB,Costco,1996-04
4/21/96,1243438,USD,Target,1996-04
4/22/96,4311572,EUR,eBay,1996-04
4/23/96,2822999,RMB,Apple,1996-04
4/24/96,3408662,USD,Walmart,1996-04
4/25/96,14278,EUR,Costco,1996-04
4/26/96,4907981,RMB,Target,1996-04
4/27/96,6020480,USD,eBay,1996-04
4/28/96,7735326,EUR,Apple,1996-04
4/29/96,4740955,RMB,Walmart,1996-04
4/30/96,6431689,USD,Costco,1996-04
5/1/96,7588649,EUR,Target,1996-05
5/2/96,434097,RMB,eBay,1996-05
5/3/96,2156864,USD,Apple,1996-05
5/4/96,7102049,EUR,Walmart,1996-05
5/5/96,6494207,RMB,Costco,1996-05
5/6/96,7998509,USD,Target,1996-05
5/7/96,344594,EUR,eBay,1996-05
5/8/96,3438309,RMB,Apple,1996-05
5/9/96,6672849,USD,Walmart,1996-05
5/10/96,5885091,EUR,Costco,1996-05
5/11/96,5546078,RMB,Target,1996-05
5/12/96,3250560,USD,eBay,1996-05
5/13/96,52565,EUR,Apple,1996-05
5/14/96,9158955,RMB,Walmart,1996-05
5/15/96,4418187,USD,Costco,1996-05
5/16/96,9938931,EUR,Target,1996-05
5/17/96,2987209,RMB,eBay,1996-05
5/18/96,4809167,USD,Apple,1996-05
5/19/96,9777228,EUR,Walmart,1996-05
5/20/96,5747589,RMB,Costco,1996-05
5/21/96,2114530,USD,Target,1996-05
5/22/96,8029929,EUR,eBay,1996-05
5/23/96,8362571,RMB,Apple,1996-05
5/24/96,9398100,USD,Walmart,1996-05
5/25/96,8245178,EUR,Costco,1996-05
5/26/96,3244056,RMB,Target,1996-05
5/27/96,9487061,USD,eBay,1996-05
5/28/96,2340088,EUR,Apple,1996-05
5/29/96,6495814,RMB,Walmart,1996-05
5/30/96,914021,USD,Costco,1996-05
5/31/96,9811908,EUR,Target,1996-05
6/1/96,9922447,RMB,eBay,1996-06
6/2/96,351811,USD,Apple,1996-06
6/3/96,552389,EUR,Walmart,1996-06
6/4/96,3997818,RMB,Costco,1996-06
6/5/96,6458515,USD,Target,1996-06
6/6/96,6189367,EUR,eBay,1996-06
6/7/96,7930461,RMB,Apple,1996-06
6/8/96,8134778,USD,Walmart,1996-06
6/9/96,5122699,EUR,Costco,1996-06
6/10/96,7211683,RMB,Target,1996-06
6/11/96,2433195,USD,eBay,1996-06
6/12/96,7441887,EUR,Apple,1996-06
6/13/96,5944421,RMB,Walmart,1996-06
6/14/96,1779165,USD,Costco,1996-06
6/15/96,7299175,EUR,Target,1996-06
6/16/96,1350459,RMB,eBay,1996-06
6/17/96,5757270,USD,Apple,1996-06
6/18/96,4118471,EUR,Walmart,1996-06
6/19/96,62828,RMB,Costco,1996-06
6/20/96,8583427,USD,Target,1996-06
6/21/96,9376167,EUR,eBay,1996-06
6/22/96,2179165,RMB,Apple,1996-06
6/23/96,419708,USD,Walmart,1996-06
6/24/96,4501343,EUR,Costco,1996-06
6/25/96,9568426,RMB,Target,1996-06
